Date,Time,Time as fraction,Stand,Station,Species,Replication ,Variation,Humidity,Temperature,PAR,Phi2,NPQt,PhiNO,PhiNPQ,PS1_Active_Centers,PS1_Open_Centers,PS1_Over_Reduced_Centers,PS1_Oxidized_Centers,Chlorophyll,ECSt,gH+,vH+,Height(cm),Diameter(mm),Average Soil Moisture(%VWC),Sap Flow Label,TOMST Label
8/8/19,12:50:00 PM,12.83472222,TO04,TN01,TSHE,4,1,63.915,21.7,70.34,0.618,0.488,0.256,0.125,1.498,0.491,0.498,0.011,4.37,-0.00006,0.132,0,60,20.6,39.8,NA,NA
8/8/19,3:24:00 PM,15.40861111,TO04,CN01,TSHE,1,1,58.522,22.97,43.231,0.618,0.475,0.259,0.123,-0.755,0.626,1.827,-1.452,1.1,0.00006,154.843,0.009,112,16.9,3.4,SF-GAP-WH-01,TSHE 1
8/9/19,2:13:00 PM,14.22166667,AV06,CN01,ABAM,4,2,72.238,19.21,17.53,0.618,0.474,0.259,0.123,1.071,-0.046,0.412,0.634,8.84,0.00004,-2011.548,-0.08,,,,,
8/9/19,12:26:00 PM,12.44638889,AV06,TN01,ABAM,1,2,72.096,16.16,27.778,0.619,0.329,0.287,0.094,6.877,0.513,0.768,-0.281,6.58,0.0001,56.291,0.006,,,,,
8/8/19,12:57:00 PM,12.95083333,TO04,TN01,ABAM,3,1,63.395,22.15,47.646,0.621,0.504,0.252,0.127,1.375,0.698,0.297,0.005,10.86,0.00005,235.377,0.012,74,12.1,13.3,NA,NA
8/8/19,1:03:00 PM,13.0525,TO04,TN01,ABAM,3,2,62.81,22.41,41.527,0.621,0.37,0.277,0.102,-1.19,-2.263,1.802,1.461,19.86,0.00006,775.329,0.047,,,,,
8/9/19,3:00:00 PM,15.01361111,AV06,CN01,ABAM,2,3,68.436,20.23,57.63,0.621,0.421,0.266,0.112,-0.182,0.281,4.319,-3.599,2.87,0.28941,0.004,0.001,,,,,
8/9/19,12:56:00 PM,12.94305556,AV06,TN01,ABAM,4,1,71.142,17.84,9.895,0.622,0.552,0.243,0.134,-2.92,0.037,0.957,0.006,5.05,0.00003,161.607,0.005,92,24,8.6,SF-NOGAP-SF-02,NA
8/8/19,2:28:00 PM,14.48027778,TO04,CN01,ABAM,1,1,65.611,20.29,42.561,0.624,0.381,0.272,0.104,1.754,0.386,-0.896,1.51,9.5,0.00004,317.453,0.013,107,28.1,too dry,SF-GAP-SF-01,ABAM 1
8/9/19,1:07:00 PM,13.12972222,AV06,TN01,ABAM,5,1,71.527,17.95,10.005,0.624,0.49,0.252,0.124,0.783,-0.397,1.638,-0.241,1.5,0.00002,-236.489,-0.005,105,21.6,14.4,NA,NA
8/9/19,2:57:00 PM,14.96555556,AV06,CN01,ABAM,2,2,68.026,20.41,56.704,0.624,0.406,0.267,0.108,1.481,0.297,0.201,0.502,10.27,0.00006,173.297,0.01,,,,,
8/8/19,2:44:00 PM,14.74027778,TO04,CN01,TSHE,3,1,59.375,24.36,60.265,0.628,0.378,0.27,0.102,0.866,0.048,0.525,0.427,17.76,0.00011,239.714,0.026,85,12.1,4.7,NA,NA
8/8/19,1:07:00 PM,13.13277778,TO04,TN01,TSHE,2,2,62.166,22.5,43.628,0.629,0.54,0.241,0.13,1.48,1.526,-0.088,-0.438,7.24,0.00002,-407.04,-0.008,,,,,
8/8/19,2:35:00 PM,14.59055556,TO04,CN01,TSHE,2,2,64.332,22.79,38.054,0.63,0.518,0.244,0.126,-1.881,0.352,-0.199,0.847,-0.78,0,89.455,0,85,,,,
8/9/19,2:34:00 PM,14.57722222,AV06,CN01,ABAM,1,1,69.989,20.31,23.571,0.63,0.48,0.25,0.12,0.805,0.303,0.649,0.048,6.93,-0.00184,-0.004,0,79,23.1,6.9,SF-GAP-SF-01,ABAM 1
8/8/19,2:30:00 PM,14.50972222,TO04,CN01,ABAM,1,2,66.646,21.11,43.509,0.631,0.45,0.254,0.114,1.926,0.574,-1.785,2.211,16.69,11.9688,0,0,87,,,,
8/9/19,12:45:00 PM,12.75944444,AV06,TN01,ABAM,2,2,71.109,17.57,9.994,0.632,0.303,0.283,0.086,0.743,0.141,-1.701,2.561,10.76,0.00002,-212.025,-0.004,,,,,
8/8/19,1:18:00 PM,13.30416667,TO04,TN01,TSHE,3,2,62.504,22.48,36.631,0.635,0.436,0.254,0.111,1.186,0.568,1.354,-0.922,17.26,0.00013,240.238,0.031,,,,,
8/8/19,12:39:00 PM,12.65444444,TO04,TN01,ABAM,1,1,65.476,20.05,26.444,0.64,0.472,0.244,0.115,-3.392,-2.215,1.866,1.349,8.56,-0.00001,77.14,-0.001,90,22.4,6.4,SF-NOGAP-SF-01,ABAM 2
8/9/19,1:10:00 PM,13.16666667,AV06,TN01,ABAM,5,2,71.067,18.01,8.233,0.64,0.375,0.262,0.098,0.922,0.138,-0.394,1.256,6.69,0.00001,-52.861,-0.001,,,,,
8/8/19,3:18:00 PM,15.31416667,TO04,CN01,ABAM,3,1,57.585,23.33,39.237,0.642,0.408,0.255,0.104,1.362,0.312,0.714,-0.026,14.55,0.00001,-15.807,0,95,22.3,too dry,SF-GAP-SF-02,NA
8/8/19,2:33:00 PM,14.55416667,TO04,CN01,TSHE,2,1,64.103,21.97,36.789,0.643,0.332,0.268,0.089,1.166,0.237,0.694,0.069,10.32,0.00007,131.687,0.009,130,20.7,0.4,SF-GAP-WH-02,NA
8/8/19,1:16:00 PM,13.27083333,TO04,TN01,TSHE,3,1,62.908,22.47,24.985,0.645,0.456,0.244,0.111,-0.495,-0.548,1.753,-0.205,2.63,0.00018,-0.079,0,64,13.6,10.8,NA,NA
8/8/19,3:13:00 PM,15.22111111,TO04,CN01,TSHE,4,2,56.792,23.95,36.046,0.645,0.572,0.226,0.129,0.519,1.556,0.42,-0.976,3.46,0.00002,569.291,0.011,,,,,
8/8/19,1:33:00 PM,13.55666667,TO04,TN01,ABAM,2,2,62.312,22.17,7.96,0.647,0.525,0.232,0.122,19.59,-0.184,-0.295,1.479,12.89,-149.91509,0,0,,,,,
8/8/19,3:11:00 PM,15.18527778,TO04,CN01,TSHE,4,1,56.512,24.06,20.255,0.647,0.427,0.247,0.106,-3.235,-0.069,1.14,-0.071,3.39,0.00003,97.637,0.003,100,9.4,23.5,NA,NA
8/8/19,1:11:00 PM,13.18361111,TO04,TN01,ABAM,4,1,62.664,22.42,8.924,0.654,0.489,0.232,0.114,1.843,0.289,4.077,-3.366,10.91,-0.00025,6.242,-0.002,65,11.1,10,NA,NA
8/8/19,3:01:00 PM,15.01916667,TO04,CN01,ABAM,5,2,56.342,24.61,15.69,0.667,0.365,0.244,0.089,-1.895,-0.432,1.332,0.101,4.98,0.00004,-1065.57,-0.043,,,,,
8/8/19,1:31:00 PM,13.52361111,TO04,TN01,ABAM,2,1,62.12,22.17,10.945,0.671,0.343,0.245,0.084,-20.648,-1.222,1.18,1.042,2.46,0.00007,-172.35,-0.012,85,22.3,1.8,SF-NOGAP-SF-02,NA
8/8/19,2:41:00 PM,14.69361111,TO04,CN01,ABAM,2,2,58.971,24.13,11.09,0.671,0.383,0.238,0.091,0.798,0.021,0.534,0.444,8.1,0.00001,447.337,0.004,,,,,
8/8/19, 2:39:00 PM,14.66333333,TO04,CN01,ABAM,2,1,61.521,23.8,7.863,0.684,0.357,0.233,0.083,0.801,0.071,1.272,-0.343,8.36,0.02929,0.003,0,87,22.2,2.9,NA,NA
